Gamma, tau, time_master_BA, time_subproblem_BA, time_master_KC, time_subproblem_KC, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCHOG, time_subproblem_KCHOG, time_master_KCHOGL, time_subproblem_KCHOGL
11,0,0.011118,0.002884,0.024719,0.00196,0.003151,0.002871,0.005369,0.002715,0.003382,0.001612,0.006295,0.001716,0.003398,0.004393,0.004863,0.004541
11,0,0.007551,0.001601,0.022309,0.001517,0.003206,0.002741,0.003307,0.002293,0.005372,0.001911,0.004462,0.001458,0.004603,0.006317,0.005393,0.005475
11,0,0.035708,0.004812,0.024647,0.002131,0.008158,0.006325,0.008598,0.004395,0.007919,0.003392,0.009841,0.003847,0.007208,0.007773,0.00722,0.007742
11,0,0.006469,0.002591,0.038786,0.002724,0.008475,0.007038,0.006456,0.002674,0.004174,0.001656,0.007156,0.002106,0.004733,0.006066,0.006066,0.005576
11,0,0.25138,0.011761,0.01217,0.002022,0.005757,0.006223,0.006791,0.003393,0.004069,0.001743,0.006079,0.001996,0.006605,0.00584,0.004649,0.006922
11,0,0.005229,0.0017,0.027504,0.001897,0.00515,0.005209,0.003836,0.002692,0.004919,0.002118,0.004745,0.001654,0.005284,0.004704,0.004649,0.004943
11,0,0.577643,0.016339,0.011982,0.002037,0.011792,0.010983,0.005177,0.004361,0.007374,0.002619,0.006875,0.001952,0.009242,0.013144,0.004781,0.004205
11,0,0.687996,0.022614,0.022826,0.001922,0.008631,0.009658,0.00545,0.004086,0.009786,0.003595,0.007432,0.002481,0.008011,0.01286,0.007926,0.003909
11,0,0.057042,0.004928,0.02739,0.001471,0.003164,0.002942,0.006046,0.004574,0.003457,0.002552,0.004819,0.001392,0.003771,0.005417,0.004894,0.006344
11,20,0.019855,0.003436,0.031089,0.002621,0.005333,0.004277,0.00682,0.005497,0.007653,0.002714,0.009027,0.003189,0.008863,0.007059,0.006188,0.007645
